0400.438.467	464 - Wholesale of household goods
0400.438.962	-
0400.440.150	-
0400.440.348	-
0400.441.041	-
0400.441.635	-
0400.441.833	-
0400.441.932	-
0400.442.229	-
0400.443.417	-
0400.443.516	-
0400.444.011	-
0400.444.209	-
0400.444.605	-
0400.445.296	-
0400.445.791	-
0400.446.781	-
0400.446.880	-
0400.446.979	-
0400.447.078	-
0400.447.870	-
0400.447.969	-
0400.448.167	46510 - Wholesale of computers, computer peripheral equipment and software
0400.448.365	-
0400.448.761	-
0400.448.860	-
0400.448.959	-
0400.449.058	-
0400.449.157	999 - Unspecified activity
0400.449.850	-
0400.450.543	-
0400.450.741	-
0400.451.137	999 - Unspecified activity
0400.451.533	-
0400.451.632	999 - Unspecified activity
0400.452.226	-
0400.452.622	-
0400.453.414	-
0400.454.305	-
0400.454.996	-
0400.455.194	-
0400.455.986	-
0400.456.382	43221 - Plumbing
0400.456.877	999 - Unspecified activity
0400.457.075	-
0400.457.372	-
0400.457.669	-
0400.458.659	467 - Other specialised wholesale
0400.458.758	-
0400.458.956	-
0400.460.045	43910 - Roofing activities
0400.460.738	-
0400.461.233	-
0400.461.431	-
0400.461.530	-
0400.462.421	-
0400.463.312	-
0400.463.708	-
0400.464.203	-
0400.464.302	-
0400.466.082	-
0400.466.280	-
0400.466.973	-
0400.467.369	-
0400.467.864	-
0400.468.458	-
0400.468.557	-
0400.468.656	-
0400.468.854	-
0400.469.052	-
0400.469.151	-
0400.470.636	46494 - Wholesale of non-electrical household goods
0400.470.735	-
0400.471.131	4120 - Construction of residential and non-residential buildings
0400.471.230	-
0400.472.319	-
0400.473.309	-
0400.473.408	-
0400.474.594	999 - Unspecified activity
0400.474.792	-
0400.475.188	-
0400.475.584	-
0400.475.881	-
0400.476.277	-
0400.476.376	-
0400.476.475	-
0400.477.267	-
0400.477.960	46731 - Wholesale of construction materials, general assortment
0400.478.257	23 - Manufacture of other non-metallic mineral products
0400.479.247	-
0400.479.346	-
0400.479.445	-
0400.480.435	-
0400.480.534	-
0400.480.633	-
0400.480.930	68 - Real estate activities
0400.481.524	-
0400.481.920	-
0400.482.811	-
0400.483.405	-
0400.484.294	-
0400.484.888	-
0400.484.987	999 - Unspecified activity
0400.485.185	-
0400.485.482	-
0400.486.274	464 - Wholesale of household goods
0400.486.373	-
0400.486.571	82 - Office administrative, office support and other business support activities
0400.486.670	-
0400.486.769	-
0400.487.462	-
0400.488.551	-
0400.488.749	-
0400.489.541	-
0400.489.937	-
0400.490.036	-
0400.490.333	-
0400.491.323	-
0400.491.521	-
0400.492.016	999 - Unspecified activity
0400.492.412	-
0400.493.402	-
0400.493.796	82 - Office administrative, office support and other business support activities
0400.494.192	-
0400.494.984	-
0400.496.073	-
0400.496.271	-
0400.497.063	-
0400.497.756	999 - Unspecified activity
0400.498.152	-
0400.498.548	-
0400.498.845	-
0400.499.043	-
0400.499.538	-
0400.499.934	-
0400.500.132	82 - Office administrative, office support and other business support activities
0400.500.231	-
0400.503.003	-
0400.503.694	-
0400.504.981	-
0400.505.179	-
0400.505.278	-
0400.505.773	82 - Office administrative, office support and other business support activities
0400.505.872	-
0400.506.070	-
0400.506.763	-
0400.506.862	-
0400.507.654	-
0400.509.139	-
0400.510.129	82 - Office administrative, office support and other business support activities
0400.510.525	-
0400.510.723	-
0400.510.822	-
0400.510.921	46900 - Non-specialised wholesale trade
0400.512.109	-
0400.512.208	-
0400.513.196	-
0400.513.691	-
0400.514.483	-
0400.516.265	-
0400.516.958	-
0400.517.057	46160 - Agents involved in the sale of textiles, clothing, fur, footwear and leather goods
0400.517.453	-
0400.517.849	-
0400.518.245	-
0400.518.542	999 - Unspecified activity
0400.518.641	-
0400.519.829	-
0400.523.787	999 - Unspecified activity
0400.524.084	-
0400.524.183	-
0400.524.480	-
0400.525.569	-
0400.526.361	-
0400.526.658	-
0400.527.747	-
